TEMA,asignatura
Examen final oral,Asignatura 3
Taller Sistema cardiovascular y su contexto,Asignatura 3
Cuando el anciano cae,Asignatura 7
11. HTA -IAM,Asignatura 4
Semiología de Cuello y Glandula tiroides (endocrino),Asignatura 2
Toma de decisiones y funciones ejecutivas,Asignatura 9
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Actividad integadora - Afecto,Asignatura 9
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
"57. Patologías infecciosas y NO infecciosas- Rabia, Polio, Cisticercosis, otras",Asignatura 10
Seminario de control neuroendocrino de la glicemia (estados pre y postprandial) y análisis de resultados curva de tolerancia a la glucosa oral.,Asignatura 5
Anfiteatro pulmones/Laboratorio  de vasos-  Laboratorio histología de vasos grupos 2,Asignatura 1
Programas de salud basados en el enfoque de riesgo. Respuesta social para la intervención del riesgo,Asignatura 7
C-SM Procesamiento tubular del filtrado y homeostasis hidroelectrolítica 2,Asignatura 6
Evaluación supletoria final de  Sistemas y Metabolismo1 y clinica,Asignatura 4
Oliguria/ Lesión renal secundaria a hipovolemia,Asignatura 6
Árbol Genealogico,Asignatura 1
Evaluación Corte 1,Asignatura 10
chequeo semanal,Asignatura 9
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Hemodinámica,Asignatura 1
Taller sondas vesicales,Asignatura 7
Presentación general,Asignatura 3
Evaluación 2 - Semanas 7 - 13 - Temas 30-57,Asignatura 10
13. Cardiopatía congénita,Asignatura 4
Corazón (anatomía),Asignatura 1
Diseñando una intervención,Asignatura 9
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Tutoria 3 Semiologia Abdomen,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Seguimiento de tutores,Asignatura 3
Hematoquecia /Sangrado de vías digestivas bajas (énfasis en patología neoplásica),Asignatura 4
14.Deficiencia Piruvato carboxilasa                 ,Asignatura 4
Segunda evaluación,Asignatura 4
Semiología de alteraciones del movimiento (Síndrome cerebeloso ),Asignatura 9
Caso 09. Gineco - EPI/ETS,Asignatura 10
Actividad integradora - miembro superior,Asignatura 9
Antimicóticos,Asignatura 10
Dolor abdominal crónico,Asignatura 10
Casos clínicos: correlación clínica-endoscópica en las enfermedades digestivas,Asignatura 7
Patología reproductiva Femenina (Tracto genital femenino) + Patología de Seno,Asignatura 7
Taller de miembro inferior 2,Asignatura 9
Actividad integradora - demencia,Asignatura 9
64. Principios de Autoinmunidad,Asignatura 10
74. Taller intervenciones: tutoria para facilitar la construccion del trabajo final ,Asignatura 10
Taller de caracterización de vulnerabilidad (Segundo avance),Asignatura 9
Terapia eléctrica en reanimación/desfibrilación/cardioversión/Marcapaso transcutáneo,Asignatura 10
Neumonía Adquirida en la comunidad - Pacientes pediátricos,Asignatura 10
Patología reproductiva Femenina (Tracto genital femenino) + Patología de Seno,Asignatura 7
Trastornos de oxigenación y ventilación/Vía aérea,Asignatura 10
Organizacion general de la historia clínica ,Asignatura 2
Semiología Ruidos Cardiacos / Sesión Ekg 2.,Asignatura 10
Taller de columna ,Asignatura 9
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Presentación póster de políticas,Asignatura 9
Control bioquímico del apetito en el hipotálamo,Asignatura 4
EXAMEN ORAL,Asignatura 10
Introducción (Antecedentes y Justificación).,Asignatura 3
Presentación de protocolos,Asignatura 3
Estudio-repaso- anatomia/histologia y patología,Asignatura 4
Fisiología materna durante la gestación,Asignatura 7
Examen final PC1,Asignatura 4
Traslado de pacientes ,Asignatura 2
Neoplasias prevalentes del sistema reproductor masculino,Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Sistemas reproductores femenino y masculino (2110),Asignatura 7
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Taller de miembro inferior 2,Asignatura 9
Comunicación,Asignatura 1
EXAMEN ORAL,Asignatura 10
3a Evaluación sustentación integradoras grupal,Asignatura 7
Actividad integradora - demencia,Asignatura 9
Semiología valoración geriatrica integral,Asignatura 10
"Entrevistas cualitativas, no estructuradas y semi-estructuradas y grupos focales",Asignatura 9
Hematemesis/ Enf. Ulcerosa- péptica,Asignatura 4
Casos relevantes en patología renal,Asignatura 6
Taller fosa ptarigopalatina-trigemino/ Laboratorio de histología de via aerea superior/ 2 grupos,Asignatua 4
Taller  miembro inferior 1 ,Asignatura 9
Sexo y genero como determinante social,Asignatura 1
Taller de Historia Clínica. Grupo Viernes,Asignatura 2
Cavidad abdominopélvica,Asignatura 7
Presentación  IV sem  CMC. Presentación  IV sem  FPC III,Asignatura 9
"Anatomía e histología de orbita, ojo, párpados y vías lacrimales ",Asignatura 7
Segunda evaluación teórica SYM1,Asignatura 4
Dinámica de los compartimientos líquidos corporales,Asignatura 6
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Valoración clinica del gasto energetico y del metabolismo de nutrientes,Asignatura 2
Cardio arritmia,Asignatura 1
Patología de la enfermedad intersticial difusa,Asignatura 3
Laboratorio de función hepática,Asignatura 5
Cuando el anciano cae,Asignatura 7
Presentación de protocolos,Asignatura 3
Falla cardiaca,Asignatura 1
Sangrado vaginal,Asignatura 7
Sangrado vaginal,Asignatura 7
Taller anfiteatro de oido,Asignatura 7
12. Falla Cardiaca,Asignatura 4
Simulacro anfiteatro,Asignatura 4
Tejidos conectivos laxos y densos,Asignatura 1
Examen teórico CMC,Asignatura 9
"Generalidades S. Gastrointestinal, boca, faringe, esófago y estómago",Asignatura 4
Bases Comunicación humana,Asignatura 1
Cuando el anciano cae,Asignatura 7
Laboratorio histología de tejido muscular,Asignatura 7
Neuroanatomía de gusto y olfato,Asignatura 7
Transporte de lípidos (lipoprotéinas) ,Asignatura 4
Taller Semiología de vasos perifericos y toma de TA. Grupo Viernes,Asignatura 2
Taller: Difusión pulmonar ,Asignatura 4
"ESM-EVALUACIÓN 1ER PERIODO
SYM NUTRICIÓN (9-11 am)",Asignatura 6
Biblioteca ,Asignatura 1
Sangrado vaginal,Asignatura 7
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Repaso histología,Asignatura 9
Trastornos de oxigenación y ventilación/Vía aérea,Asignatura 10
Sistema Osteomuscular,Asignatura 1
Anatomía patológica del tracto gastrointestinal  (Hígado),Asignatura 5
Estructuras microscópica hígado y vesícula biliar,Asignatura 5
Procesamiento de la información multimodal,Asignatura 9
Presentación general,Asignatura 3
Chequeo semanal,Asignatura 7
Pelvis blanda y periné,Asignatura 7
Hipotálamo como eje integrador de la regualción corporal y comportamental,Asignatura 9
Oftalmoscopia/Otoscopia / Sesión Ekg 1,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Dinámica y regulación de corrientes iónicas,Asignatura 1
38. Anemias hemolíticas y diagnóstico por el laboratorio. Revisión de algoritmos (hemorragias) y 39. Hemostasia: Coagulación fase endotelial y plaquetaria (patologias asociadas y dx laboratorio),Asignatura 10
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Metabolismo Energetico una vision general,Asignatura 2
Sistema de salud como DSS ,Asignatura 1
Taller regulación neurobiológica de la función respiratoria-cardiovascular,Asignatura 9
Presentación estudiantes - tutoria 1,Asignatura 10
Primera evaluación sistemas y metabolismo I,Asignatura 1
Falla cardiaca,Asignatura 1
Laboratorio histología de oido,Asignatura 7
Medidas resumen y de presentación de datos,Asignatura 3
Supletorio Eval 2 SYM2 y S. Escrita integradoras M2,Asignatura 7
Taller de dislipidemias (farmacologia),Asignatura 4
"Disfagia /  Trastorno de la motilidad gastrointestinal
",Asignatura 4
Infertilidad,Asignatura 1
Actividad integradora 9 AFECTO,Asignatura 9
Principios de electricidad,Asignatura 1
Introducción (Antecedentes y Justificación).,Asignatura 3
Escenarios Simulados con Debriefing,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
"Anatomía e histología de orbita, ojo, párpados y vías lacrimales ",Asignatura 7
Repaso Aantomía FPC III,Asignatura 9
Debilidad e ictericia / Cirrosis ,Asignatura 5
40. Laboratorio de Hematologia - Grupo A,Asignatura 10
Daño alveolar difuso,Asignatura 1
Miembro superior 5,Asignatura 7
Diarrea / malabsorción,Asignatura 5
Reunión con tutores,Asignatura 3
Taller de miembro inferior 2,Asignatura 9
Caso 12. Endocrino Diabetes,Asignatura 10
Segundo examen,Asignatura 10
Histología funcional intestinal,Asignatura 5
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Taller Simulacro Práctico Anatomia e Histología,Asignatura 2
Actividad integradora - miembro superior,Asignatura 9
Comunicación intercelular para el establecimiento de tejidos,Asignatura 1
Presentación videos,Asignatura 9
Regulación de la glicólisis y gluconeogénesis,Asignatura 4
PREPARACIÓN EXAMEN FINAL ,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
"Transcripción, traducción, replicación",Asignatura 1
"Laboratorio Simulación farmacocinética 1. Distribución, diferentes vías de administración. Gráficas Cp vs tiempo Dosis única y dosis múltiples. Parámetros farmacocinéticos: Volumen de distribución, vida media. Características de los gráficos.",Asignatura 6
Histología funcional desde boca hasta estómago,Asignatura 4
Gestación adolescente en población desplazada,Asignatura 7
Antiparasitarios,Asignatura 10
Miembro superior 2,Asignatura 7
Mantenimiento de la salud - Condiciones cardiovasculares y metabólicas,Asignatura 10
Deficiencia de piruvato Carboxilasa ,Asignatura 4
Guías de práctica clínica en control prenatal,Asignatura 10
Anatomía de los riñones y las vías urinarias (SYM2),Asignatura 7
Tiroiditis,Asignatura 10
Actividad integradora - oido,Asignatura 7
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Cronobiología,Asignatura 9
Taller huesos craneo y cara- nariz- senos paranasales- Mesa Sectra,Asignatua 4
 Evaluación final Práctica Sistemas y Metabolismo I,Asignatura 3
C-SM Organización microscópica del hueso 2,Asignatura 7
Taller farmacodinamia de sedantes e hipnóticos,Asignatura 9
Actividad integradora - Movimientos anormales,Asignatura 9
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
1. Contaminación,Asignatua 4
Debilidad e ictericia / Cirrosis ,Asignatura 5
Violencias de género,Asignatura 10
Caso 06. Neumología - NAC,Asignatura 10
"Introducción al tallo: Mesencéfalo, puente y bulbo Configuración externa y relaciones generales del tallo cerebral",Asignatura 9
Programas de salud basados en el enfoque de riesgo. Respuesta social para la intervención del riesgo,Asignatura 7
"ESM-EVALUACIÓN FINAL SYM II 
(9-12m)",Asignatura 7
09. Respuesta agentes Infecciosos y mecanismos de evasion,Asignatura 10
Columna 2 - ARTROLOGÍA,Asignatura 9
Introducción (Antecedentes y Justificación).,Asignatura 3
Dislipidemias,Asignatura 4
Terminología,Asignatura 1
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Segundo parcial ,Asignatura 1
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Supletorios evaluaciones semanales SYM2 y sesiones integradoras (productos)  1er módulo,Asignatura 6
Patología osteomuscular,Asignatura 7
DESCANSO,Asignatura 10
Primera evaluación sistemas y metabolismo I,Asignatura 1
1. Contaminación,Asignatua 4
Conducta Suicida ,Asignatura 9
Examen final oral,Asignatura 4
Dislipidemias,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Dispepsia,Asignatura 10
20. Antibióticos y Resistencia Antimicrobiana - Mecanismos de Accion de ABS y Mecanismos de Resistencia,Asignatura 10
Avances taller de Vulnerabilidad,Asignatura 9
"Evaluación 3 - Semanas 14-20, Temas 58-81.",Asignatura 10
Fundamentos para la exploración del riesgo,Asignatura 7
Transferencia del conocimiento científico,Asignatura 10
Enfermedad renal crónica - Situaciones integradoras,Asignatura 10
"EVALUACIÓN 2° PERIODO
9-11 am",Asignatura 7
Simposio Bloque Naranja,Asignatura 2
Aprendizaje y memoria,Asignatura 9
Examen teórico CMC,Asignatura 7
Presentación Taller de vulnerabilidad,Asignatura 9
Diarrea / malabsorción,Asignatura 5
Examen final oral,Asignatura 4
Reunión con tutores,Asignatura 3
Cardiopatía congénita,Asignatura 4
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Taller de cráneo -cara anfiteatro,Asignatura 9
Taller sondas vesicales,Asignatura 7
Sistema Osteomuscular,Asignatura 1
Preparaciones histológicas de tejidos conectivos generales. Taller de Tejidos Conectivos,Asignatura 1
Riesgos ocupacionales,Asignatura 7
Cardiopatía reumática y otras valvulopatías-Meek,Asignatura 4
Semiologia Ruidos Respiratorios /Rx tórax/ Sesión Ekg 3.,Asignatura 10
4. EVALI,Asignatura 1
Sistema de Seguridad Social Colombiano (Sistema de Gestión de Riesgo),Asignatura 7
"Examen práctico histología, neuroanatomía y PFPC III",Asignatura 7
Glicogenogénesis Glicogenolisis- Ruta de pentosas,Asignatura 4
Tutorías Clínica Grupo Viernes,Asignatura 2
Abordaje del paciente con síntomas depresivos,Asignatura 10
C-SM Factores que modifican el efecto de los fármacos: Generalidades y Efecto placebo.,Asignatura 7
Taller Semiología Respiratoria,Asignatura 2
Caso 04. OTRL - Ojo Rojo,Asignatura 10
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Comparación estadística de riesgos y otros parámetros poblacionales,Asignatura 7
C-SM Anatomía funcional de intestino delgado y páncreas ,Asignatura 4
EXAMEN PRACTICO CMC Y FPC III,Asignatura 9
Caso 13. SNC - Meningitis,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
"Nucleótidos, vitaminas hidrosolubles y cofactores",Asignatura 1
Práctica de enfermería ,Asignatura 2
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Hemostasia(Fisiología),Asignatura 1
Meiosis y Mitosis,Asignatura 1
Taller de evaluación psiquiátrica. Sesión 7.  psicopatología de la personalidad,Asignatura 9
1a Evaluación sustentación integradoras grupal,Asignatura 5
Enfermedades desmielinizantes,Asignatura 7
Hematoquecia /Sangrado de vías digestivas bajas (énfasis en patología neoplásica),Asignatura 4
"Nucleótidos, vitaminas hidrosolubles y cofactores",Asignatura 1
Tutoria 3 Semiologia Abdomen,Asignatura 10
"Anfiteatro nariz senos paranasales, trigemino,fosa pterigopalatina y laringe/ Laboratorio de histología de via aerea superior/ 2 grupos",Asignatua 4
C-SM Trastornos funcionales y anatómicos del esófago,Asignatura 5
Anfiteatro pulmones/Laboratorio  de vasos-  Laboratorio histología de vasos grupos 2,Asignatura 1
Infección respiratoria alta,Asignatura 4
Escenarios Simulados con Debriefing,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Dispepsia - Situaciones integradoras,Asignatura 10
Anfiteatro de Nucleos basales y tallo y Taller de vías medulares y cerebelosas,Asignatura 9
Cólera,Asignatura 1
"Anfiteatro nariz senos paranasales, trigemino,fosa pterigopalatina y laringe/ Laboratorio de histología de via aerea superior/ 2 grupos",Asignatua 4
Tutoria Psiquiatria,Asignatura 10
Seguimiento de tutores,Asignatura 3
Repaso Anfiteatro,Asignatura 7
Tutoria 3 Semiologia Abdomen,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
Repaso Aantomía FPC III,Asignatura 9
Vascular de cuello,Asignatua 4
Tutoria Psiquiatria,Asignatura 10
Presentación eval  de fisiología ,Asignatura 4
Chequeo 1,Asignatura 9
"Lab bioq, Fisio, Microscopia",Asignatura 1
11. HTA -IAM,Asignatura 4
Anatomia de orientación y planos,Asignatura 1
Desarrollo de nuevos medicamentos,Asignatura 10
4. EVALI,Asignatura 1
Corpúsculos gustativos y mucosa olfatoria/Interpretación de señales químicas,Asignatura 7
Chequeo semanal,Asignatura 7
17. Dislipidemia,Asignatura 4
Museo de cardiopatías de adultos,Asignatura 4
Aparato de Golgi,Asignatura 1
58. Patologías infecciones SNC - Meningitis/LCR,Asignatura 10
Cuando el anciano cae,Asignatura 7
Examen final habilidades clínicas,Asignatura 7
Reunión con tutores,Asignatura 3
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
Evaluación semestre,Asignatura 10
Configuración macroscópica del diencéfalo y nucleos basales,Asignatura 9
Cardiopatías congénitas  o adquirida. Usando las piezas de patología,Asignatura 4
PRMBE - Abordaje antiparasitarios antimalaricos,Asignatura 10
Seguimiento de tutores,Asignatura 3
2. Infeccion respiratoria alta,Asignatua 4
Modelado vías de administración ,Asignatura 2
Sistemas reproductores masculino y femenino ,Asignatura 7
Análisis de información en investigación cualitativa: En busca de patrones,Asignatura 9
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Semiología Ginecología,Asignatura 10
C-SM Anatomía funcional del aparato reproductor masculino (PC2),Asignatura 7
Taller de dolor toracico. Grupo Viernes,Asignatura 2
Malnutrición,Asignatura 4
Infección respiratoria alta,Asignatura 4
Inmunología básica gastrointestinal ,Asignatura 5
Zika - Inflamación,Asignatura 1
actividad integradora de cierre,Asignatura 9
Actividad integradora- miembro inferior - SN autonomo,Asignatura 9
Patología de páncreas y vía biliar,Asignatura 5
Teorías de membrana,Asignatura 1
Imágenes pulmonares,Asignatura 10
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Del problema a la intervención: ¿qué queremos cambiar?,Asignatura 9
Metabolismo de AA y BCAA a otros compuestos nitrogenados,Asignatura 4
Práctica de enfermería ,Asignatura 2
Sesión innagural,Asignatura 7
Laboratorio integrador de neurofisiología (aplicación de la inteligencia artificial),Asignatura 9
Mecanismos para modificar la motilidad gastrointestinal. ,Asignatura 5
Taller fosa ptarigopalatina-trigemino/ Laboratorio de histología de via aerea superior/ 2 grupos,Asignatua 4
Aparato de Golgi,Asignatura 1
Malformaciónes congénitas múltiples,Asignatura 1
Tutorías Clínica Grupo Jueves,Asignatura 2
Obesidad - Sindrome metabólico,Asignatura 10
Presentación de protocolos,Asignatura 3
Anatomia de la tiroides,Asignatua 4
Evaluación 1 Biológicas,Asignatura 1
Búsquedas de la literatura,Asignatura 10
Antibioticoterapia - ITU,Asignatura 10
2a Evaluación sustentación integradoras grupal,Asignatura 7
Tutorías Clínica Grupo Viernes,Asignatura 2
50. Laboratorio Uroanálisis - Grupo B,Asignatura 10
"Patología placenta
",Asignatura 7
Acompañamiento decanatura (Dirección de carrera),Asignatura 4
Traslado de pacientes ,Asignatura 2
Infecciones de transmisión sexual - Abordaje sindrómico,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Deshidratación (EDA)  / Evaluación oral biológicos,Asignatura 1
"Buena prescripción, polimedicación y desprescripción en el anciano",Asignatura 10
Vejiga dolorsa - Situaciones integradoras,Asignatura 10
Seguimiento de tutores,Asignatura 3
Tutoria 3 Semiologia Abdomen,Asignatura 10
Chequeo semanal,Asignatura 9
Procedimientos SNG /IM Acceso venoso / Especuloscopía/sonda vesical,Asignatura 10
Traslado de pacientes ,Asignatura 2
Seguimiento de tutores,Asignatura 3
Formación reticular,Asignatura 9
Cólera,Asignatura 1
Intrtoducción de la asignatura,Asignatura 3
"Unidades, concentraciones y pH ",Asignatura 1
Presentación estudiantes -tutoria 1,Asignatura 10
Taller de caracterización de vulnerabilidad (Primer avance),Asignatura 9
Hipertiroidismo - Hipotiroidismo,Asignatura 10
Reunión con tutores,Asignatura 3
Actividad integradora - miembro superior,Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
Neuroanatomía del encefálo y meninges /configuracipon macroscópica del diencéfalo,Asignatura 9
Mecanismos para mantener la hemostasia: anticoagulantes y antiagregantes,Asignatura 10
EXAMEN TEÓRICO CMC,Asignatura 9
Seguimiento de tutores,Asignatura 3
Intoxicación aguda por alcohol,Asignatura 1
Taller sondas vesicales,Asignatura 7
Sangre y sus componentes 1 y 2,Asignatura 4
Cardiopatía congénita,Asignatura 4
Sistemas membranosos y síntesis de proteínas ,Asignatura 1
Neuroanatomía de la visión y movimientos oculares,Asignatura 9
Caso 03. Piel - Infecciosas,Asignatura 10
Columna 1 - HUESOS,Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
Introducción a la estimación de riesgos y otros parámetros poblacionales,Asignatura 7
Taller actualidad en genética,Asignatura 1
Organización General del Sistema Respiratorio,Asignatura 2
"Genitales ambiguos/ Hiperplasia suprarrenal congénita (Impacto hidroelectrolítico, ácido-base y en el desarrollo sexual)",Asignatura 6
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Supletorios evaluaciones semanales y sesiones integradoras (productos)  2° módulo,Asignatura 7
Patología de páncreas y vía biliar,Asignatura 5
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Medicamentos biológicos,Asignatura 1
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Seguimiento de tutores,Asignatura 3
Del genoma al pangenoma,Asignatura 1
Fenómenos eléctricos biológicos,Asignatura 1
Tutoria 3 Semiologia Abdomen/,Asignatura 10
C-SM Aspectos funcionales del sistema reproductor femenino,Asignatura 7
Citoesqueleto 1,Asignatura 1
Terapia eléctrica en reanimación/desfibrilación/cardioversión/Marcapaso transcutáneo,Asignatura 10
Introducción a la estimación de riesgos y otros parámetros poblacionales,Asignatura 7
Histología funcional intestinal,Asignatura 5
Estructuras microscópicas riñón y vías urinarias 1,Asignatura 6
50. Laboratorio Uroanálisis - Grupo B,Asignatura 10
Taller de exploración psicopatológica 2:  Anamnesis - historia clínica,Asignatura 9
9. Hipovolemia,Asignatura 1
Taller de comunicación I,Asignatura 3
Hemotransfusión,Asignatura 1
Fibrosis quística,Asignatura 1
Examen final oral primer semestre ,Asignatura 2
"Lab bioq, Fisio, Microscopia",Asignatura 1
"Genitales ambiguos/ Hiperplasia suprarrenal congénita (Impacto hidroelectrolítico, ácido-base y en el desarrollo sexual)",Asignatura 6
Vías de la respuesta autónoma,Asignatura 9
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Caso 08. Gastroenterología - EDA,Asignatura 10
Primera evaluación parte grupal Asma,Asignatura 1
C-SM Aspectos funcionales de la gestación 2,Asignatura 7
Taller de exploración psicopatológica 3: Afecto,Asignatura 9
Regulación local cadiovascular,Asignatura 1
Segunda evaluación práctica. Sitemas y Metabolismo1 (Anatomia-histologia-patologia) Retroalimentación del examen,Asignatura 4
3. Herida cervical,Asignatura 1
Taller de cráneo -cara anfiteatro ,Asignatura 9
Termorregulación,Asignatura 1
"Generalidades S. Gastrointestinal, boca, faringe, esófago y estómago",Asignatura 4
Segunda Evaluación Teoríca Sistemas y Metabolismo I,Asignatura 2
15. Diabetes Tipo 1,Asignatura 4
Teorias explicativas de la personalidad,Asignatura 9
"ESM-EVALUACIÓN FINAL SYM II 
(9-12m)",Asignatura 7
Histología funcional intestinal,Asignatura 5
Reunión con tutores,Asignatura 3
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Evaluación oral,Asignatura 1
Histología funcional desde boca hasta estómago,Asignatura 4
C-SM Aspectos funcionales del sistema reproductor masculino 1: Función testicular,Asignatura 7
3a Evaluación sustentación integradoras grupal,Asignatura 7
C-SM Organización microscópica y función del sistema reproductor masculino II,Asignatura 7
chequeo semanal,Asignatura 9
Simposio bloque naranja,Asignatura 4
Prácticas libres Estudiantes,Asignatura 10
Fisiopatología de los trastornos endocrinos más prevalentes en pediatría,Asignatura 7
Actividad integradora - glaucoma,Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
1a Evaluación sustentación integradoras grupal,Asignatura 5
Semiología OTR,Asignatura 10
Examen final oral,Asignatura 4
17. Dislipidemia,Asignatura 4
Soporte Vital,Asignatura 2
Quices supletorios,Asignatura 4
Simposio Bloque Naranja,Asignatura 2
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Repaso CMC,Asignatura 9
Introducción al curso ,Asignatura 1
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Introducción a la semiología / Historia clínica,Asignatura 7
Nucleos autónomos del tallo,Asignatura 9
"1-Evaluaciones semanales
PC2 y SYM2",Asignatura 4
Primera evaluación oral parte grupal 6. Enfermedad obstructiva,Asignatura 1
Medio ambiente como determinante social,Asignatura 1
Soporte Vital,Asignatura 1
Citoesqueleto 2,Asignatura 1
Fisiopatología del ritmo del corazón 1y 2,Asignatura 1
Taller farmacocinética/ Metabolismo,Asignatura 5
C-SM Características funcionales de la placenta,Asignatura 7
Programación Prácticas,Asignatura 2
3a Evaluación sustentación integradoras grupal,Asignatura 7
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Semiología Reumatología,Asignatura 10
Presentación estudiantes -tutoria 1,Asignatura 10
"Taller de exploración psicopatológica 5. Pensamiento, lenguaje y sensopercepción",Asignatura 9
24. Laboratorio de Resistencia Antimicrobiana - Grupo A,Asignatura 10
"Genitales ambiguos/ Hiperplasia suprarrenal congénita (Impacto hidroelectrolítico, ácido-base y en el desarrollo sexual)",Asignatura 6
Mecanismos potenciales para intervenir en la contractilidad uterina 1,Asignatura 7
Reunión con tutores,Asignatura 3
Patología reproductiva Femenina (Tracto genital femenino) + Patología de Seno,Asignatura 7
Biofísica de lentes,Asignatura 7
Anfiteatro de dorso,Asignatura 9
Prácticas libres Estudiantes,Asignatura 10
SUPLETORIOS,Asignatura 9
1a Evaluación sustentación integradoras grupal,Asignatura 5
Evaluación oral,Asignatura 1
Taller Semiología de vasos perifericos y toma de TA. Grupo Jueves,Asignatura 2
Papel renal en el control y regulación de la presión arterial y del equilibrio ácido-base,Asignatura 6
Anatomía de la circulación entero-hepática,Asignatura 3
Taller de Historia Clínica. Grupo jueves. ,Asignatura 2
Tutorías Clínica Grupo Viernes,Asignatura 2
Fisiología del envejecimiento 2,Asignatura 7
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Presentación estudiantes -tutoria 1,Asignatura 10
Sesión Ekg 4. /ejercicios integradores cardio respiratorio/ Rx tórax,Asignatura 10
19. Laboratorio de Microbiología - Grupo A,Asignatura 10
Conceptos básicos de inferencia causal aplicados a ENT II,Asignatura 3
Inmunomoduladores,Asignatura 10
Neuroanatomía de encefalo y meninges,Asignatura 7
Caso 02. Piel - Hipersensibilidad,Asignatura 10
Tutorías Clínica Grupo Jueves,Asignatura 2
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Patología de tumores,Asignatura 9
Esferocitosis - esplenectomía,Asignatura 1
Implicaciones clínicas de las lesiones valvulares,Asignatura 2
"Senos paranasales, paredes y relaciones ",Asignatura 3
1. Contaminación,Asignatua 4
Reunión con tutores,Asignatura 3
Estructuras macroscópicas riñón y vías urinarias ,Asignatura 6
1a Evaluación sustentación integradoras grupal,Asignatura 5
Caso 14. S.locomotor - Reumatología,Asignatura 10
Semiología del envejecimiento,Asignatura 7
Actividad integradora -dolor,Asignatura 7
Metabolismo de las bases nitrogenadas ,Asignatura 4
6-Evaluación semanal (solo SYM2),Asignatura 6
7. Silicoantracosis,Asignatura 1
Receptores perifericos Fisiología,Asignatura 7
Estructuras microscópicas riñón y vías urinarias 1,Asignatura 6
Caso 03. Piel - Infecciosas,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Taller de comunicación I,Asignatura 3
